Subject,Trial,Condition,Time,response,correct,angle,correct.incorrect
12,59,2_3_4_2_90Y150.pct,2989,[b],[b],150,1
12,60,3_4_3_2_90Y100.pct,2223,[b],[b],100,1
12,61,2_4_4_3_90Y0.pct,945,[b],[b],0,1
12,62,R2_4_4_2_180Y0.pct,2952,[n],[n],0,1
12,63,R2_4_4_3_90Y50.pct,1514,[n],[n],50,1
12,64,2_4_4_3_90Y50.pct,1351,[b],[b],50,1
12,65,R2_4_4_2_180Y150.pct,2950,[n],[n],150,1
12,66,3_3_3_3_90Y0.pct,1506,[b],[b],0,1
12,67,3_3_3_3_180Y150.pct,1977,[b],[b],150,1
12,68,R3_3_3_3_90Y0.pct,1091,[n],[n],0,1
12,69,R3_3_3_2_0Y50.pct,925,[n],[n],50,1
12,70,2_4_4_2_180Y50.pct,1225,[b],[b],50,1
12,71,2_4_4_2_0Y100.pct,5810,[b],[b],100,1
12,72,R3_3_3_2_0Y100.pct,2111,[n],[n],100,1
12,73,2_3_4_2_90Y100.pct,1874,[b],[b],100,1
12,74,R3_3_3_3_180Y100.pct,1424,[n],[n],100,1
12,75,3_3_3_3_90Y150.pct,3255,[b],[b],150,1
12,76,R3_3_4_2_0Y0.pct,2231,[b],[n],0,0
12,77,3_3_3_2_0Y0.pct,2633,[b],[b],0,1
12,78,3_3_3_2_0Y50.pct,1941,[b],[b],50,1
12,79,R3_3_3_3_180Y50.pct,1064,[n],[n],50,1
12,80,R3_3_3_3_90Y150.pct,1714,[b],[n],150,0
12,81,R3_4_4_3_180Y50.pct,3032,[n],[n],50,1
12,82,2_3_4_2_90Y0.pct,929,[b],[b],0,1
12,83,R3_3_4_2_0Y150.pct,2776,[n],[n],150,1
12,84,3_3_4_2_0Y50.pct,3187,[b],[b],50,1
12,85,2_4_4_2_180Y100.pct,2653,[b],[b],100,1
12,86,R3_4_4_3_180Y0.pct,2254,[n],[n],0,1
12,87,3_4_3_3_180Y150.pct,NA,[N/A],[b],150,0
12,88,R3_4_4_3_180Y100.pct,519,[n],[n],100,1
12,89,R2_3_3_2_0Y100.pct,2384,[b],[n],100,0
12,90,2_3_3_2_0Y50.pct,1984,[b],[b],50,1
12,91,2_4_4_2_0Y0.pct,956,[b],[b],0,1
12,92,3_4_3_2_90Y150.pct,3489,[n],[b],150,0
12,93,R2_4_4_3_90Y150.pct,2125,[n],[n],150,1
12,94,R3_4_3_2_90Y50.pct,1107,[n],[n],50,1
12,95,2_3_3_2_0Y100.pct,1516,[b],[b],100,1
12,96,R3_3_3_2_0Y0.pct,2657,[n],[n],0,1
13,1,R2_3_3_2_0Y0.pct,1606,[n],[n],0,1
13,2,R3_4_3_2_90Y150.pct,2427,[n],[n],150,1
13,3,2_4_4_2_0Y150.pct,1109,[b],[b],150,1
13,4,3_3_3_2_0Y100.pct,1900,[b],[b],100,1
13,5,3_3_3_3_90Y50.pct,1098,[b],[b],50,1
13,6,R2_4_4_2_0Y50.pct,1496,[n],[n],50,1
13,7,R3_3_3_3_90Y100.pct,1553,[b],[n],100,0
13,8,2_3_3_2_0Y0.pct,970,[b],[b],0,1
13,9,R3_4_3_3_180Y150.pct,3402,[n],[n],150,1
13,10,2_4_4_2_180Y150.pct,2196,[n],[b],150,0
13,11,R3_3_4_2_0Y50.pct,2350,[n],[n],50,1
13,12,R2_3_4_2_90Y0.pct,996,[n],[n],0,1
13,13,3_3_3_3_180Y0.pct,615,[b],[b],0,1
13,14,R3_4_3_3_180Y100.pct,4115,[n],[n],100,1
13,15,2_4_4_3_90Y100.pct,902,[b],[b],100,1
13,16,3_4_3_2_90Y50.pct,1734,[b],[b],50,1
13,17,R2_4_4_3_90Y100.pct,1132,[n],[n],100,1
13,18,2_3_3_2_0Y150.pct,1108,[b],[b],150,1
13,19,R2_3_4_2_90Y50.pct,1345,[n],[n],50,1
13,20,2_3_4_2_90Y50.pct,1092,[b],[b],50,1
13,21,R2_4_4_2_180Y100.pct,1397,[n],[n],100,1
